ID;Species;WMUpdating;WMBoxes;WMGrid;SD;Reversal;CD_all;EDS;Tray;Shelf;GlassCeiling;Cylinder;InhibGrid
157;Children;0.666666667;0.625;0.7756168;1;0.86;0.583;;1;1;0.833333333;0.416666667;0.5
158;Children;1;0.5;0.8979768;0.82;0.85;0.375;;1;0.73;0.916666667;0.833333333;1.000
159;Children;0.666666667;0.75;0.865291;0.86;0.86;0.417;;0.9;0.91;0.5;0.916666667;0.333
160;Children;0.666666667;0.625;0.7768071;1;0.86;0.333;;0.86;1;1;0.916666667;1.000
161;Children;0.666666667;0.25;0.8058919;0.88;0.54;0.375;;0.71;0.09;0.916666667;0.916666667;0.5
162;Children;0.666666667;0.5;0.7959535;0.89;0.59;0.375;;0.71;0.36;0.75;0.25;0.667
163;Children;0.666666667;0.625;;1;0.78;;;0.73;0.91;;0.916666667;1.000
164;Children;0.666666667;0.625;0.6997523;0.86;0.86;0.542;;0.65;0.91;0.916666667;0.833333333;0.667
165;Children;0.666666667;0.75;0.7824142;1;0.86;1.000;0.89;0.86;0.91;0.833333333;0.916666667;0.167
166;Children;0.666666667;0.625;0.613679;1;0.73;0.417;;0.73;0.64;0.666666667;0.083333333;0.167
167;Children;0.333333333;;;;;;;;0.18;;;0.833
168;Children;0.666666667;;;;;;;;;;;
169;Children;0.833333333;;;;;;;;0.64;;;0.333
170;Children;1;;;;;;;;0.82;;;0.167
171;Children;0.666666667;;;;;;;;0.64;;;
172;Children;0.666666667;;;;;;;;;;;
173;Children;0.666666667;;;;;;;;;;;
174;Children;0.833333333;;;;;;;;;;;
175;Children;0.5;;;;;;;;;;;
176;Children;1;;;;;;;;0.82;;;
177;Children;0.666666667;;;;;;;;;;;
181;Children;1;;;;;;;;;;;
182;Children;0.666666667;;;;;;;;;;;
184;Children;0.833333333;;;;;;;;;;;
189;Children;0.666666667;;;;;;;;;;;
190;Children;0.833333333;;;;;;;;0.09;;;
191;Children;0.666666667;;;;;;;;0.27;;;
192;Children;0.666666667;;;;;;;;0.27;;;0.333
193;Children;0.666666667;;;;;;;;0.45;;;
194;Children;0.5;;;;;;;;0.91;;;0
195;Children;1;;;;;;;;;;;
196;Children;0.666666667;;;;;;;;;;;
197;Children;0.5;;;;;;;;0.18;;;0.667
198;Children;0.666666667;;;;;;;;0.18;;;0.667
199;Children;0.666666667;;;;;;;;0.73;;;0.333
Ajabu;Chimpanzees;0.541666667;0.25;0.696556083;0.538461538;0.125;0.727272727;0.45;0.458333333;0.181818182;0.5;0.5;0.666666667
Akela;Chimpanzees;0.458333333;0.25;0.555621023;0.611111111;0;0.823529412;0.5;0.416666667;0.636363636;0.166666667;0.416666667;0.166666667
Alikaka;Chimpanzees;0.5;0.3125;0.608223435;0.666666667;0.166666667;0.615384615;0.45;0.666666667;0.454545455;0.083333333;0.416666667;0.333333333
Alley;Chimpanzees;0.541666667;0.25;0.670816826;0.533333333;0.291666667;0.857142857;0.55;0.583333333;0.727272727;0.25;0.416666667;0.5
Amahirwe;Chimpanzees;0.458333333;0.375;0.669478094;0.636363636;0;0.666666667;0.475;0.625;0.727272727;0;0.333333333;0.5
Amizero;Chimpanzees;0.583333333;0.3125;0.615170202;0.685714286;0.125;0.769230769;0.475;0.625;0.363636364;0;0.5;0.5
Angela;Chimpanzees;0.583333333;0.071428571;0.609714079;0.722222222;0.333333333;0.727272727;0.525;0.5;0.272727273;0.083333333;0.416666667;0.166666667
Asega;Chimpanzees;0.833333333;0.3125;0.595566357;0.611111111;0.733333333;0.8;0.525;0.75;0.363636364;0;0.583333333;0.666666667
Bahati;Chimpanzees;0.5;0.3125;0.608071523;0.529411765;0.375;0.785714286;0.5;0.666666667;0.363636364;0.25;0.5;0.333333333
Baluku;Chimpanzees;0.75;0.5625;0.79595289;0.75;0.416666667;0.75;0.5;0.666666667;0.545454545;0.166666667;0.583333333;0.666666667
Becky;Chimpanzees;0.375;0.375;0.663870058;0.6;0.125;0.5;0.375;0.458333333;0.363636364;0.333333333;0.666666667;0.833333333
Bili;Chimpanzees;0.458333333;0.4375;0.59983674;0.733333333;0;0.583333333;0.45;0.458333333;0.636363636;0;0.5;0.666666667
Bwambale;Chimpanzees;0.583333333;0.625;0.740154355;0.666666667;0.208333333;0.866666667;0.6;0.5;0.545454545;0;0.5;0.333333333
Cheetah;Chimpanzees;0.666666667;0.375;0.678899697;0.666666667;0.041666667;0.55;0.475;0.5;0.636363636;0.083333333;0.5;0.333333333
Chipie;Chimpanzees;0.166666667;0.0625;0.613679559;0.558823529;0.041666667;0.705882353;0.5;0.583333333;0.727272727;0.333333333;0.75;0.5
Cocoa;Chimpanzees;0.375;0.375;0.717041845;0.625;0.041666667;0.7;0.45;0.666666667;0.363636364;0.083333333;0.333333333;0.666666667
Dufatanya;Chimpanzees;0.625;0.25;0.661395222;0.666666667;0.208333333;0.476190476;0.425;0.541666667;0.363636364;0.25;0.25;0.333333333
Edvard;Chimpanzees;0.5;0.3125;0.662531327;0.459459459;0.041666667;0.636363636;0.55;0.625;0.545454545;0.166666667;NA;NA
Indi;Chimpanzees;0.625;0.5;0.651516804;0.490196078;0;0.888888889;0.475;0.583333333;0.727272727;0.083333333;0.416666667;0.5
Jane;Chimpanzees;0.333333333;0.25;0.533125958;0.777777778;0.9;0.789473684;0.6;0.833333333;0.181818182;0.25;NA;0.333333333
Joy;Chimpanzees;0.416666667;0.4375;0.589228317;0.533333333;0.25;0.769230769;0.55;0.708333333;0.545454545;0.083333333;0.666666667;0.333333333
Judy;Chimpanzees;0.541666667;0.3125;0.692438692;0.692307692;0.5;0.764705882;0.5;0.333333333;0.090909091;0.416666667;0.428571429;0.666666667
Julia;Chimpanzees;0.541666667;0.25;0.711585722;0.590909091;0.291666667;0.692307692;0.425;0.708333333;NA;0.083333333;0.333333333;0.5
Kalema;Chimpanzees;0.375;0.375;0.669478094;0.583333333;0.333333333;0.833333333;0.575;0.458333333;0.181818182;0.083333333;0.583333333;0.5
Kidogo;Chimpanzees;0.541666667;0.3125;0.703502851;0.565217391;0.125;0.571428571;0.5;0.458333333;0.272727273;0.166666667;0.5;0.5
Kisa;Chimpanzees;0.5;0.375;0.650482975;0.560606061;0.458333333;0.625;0.525;0.791666667;0.636363636;0.416666667;0.5;0.333333333
Kisembo;Chimpanzees;0.291666667;0.3125;0.8190654;0.488888889;0;0.36;0.45;0.5;0.636363636;0.166666667;0.416666667;0.5
Manno;Chimpanzees;0.458333333;0.375;0.646213672;0.727272727;0.291666667;0.818181818;0.5;0.75;0.454545455;0;0.416666667;0.5
Mary;Chimpanzees;0.416666667;0.4375;0.660152595;0.684210526;0.125;0.764705882;0.525;0.5;0.545454545;0.25;0.25;0
Mawa;Chimpanzees;0.416666667;0.25;0.624134991;0.846153846;0.333333333;0.666666667;0.525;0.458333333;0.545454545;0;0.416666667;0.5
Medina;Chimpanzees;0.333333333;0.25;0.636792069;0.875;0.125;0.777777778;0.5;0.458333333;0.454545455;0.166666667;0.5;0.666666667
Mwanzo;Chimpanzees;0.458333333;0.3125;0.738815624;0.571428571;0.041666667;0.545454545;0.525;0.5;NA;0.416666667;0.416666667;0.333333333
Nakuu;Chimpanzees;0.708333333;0.5;0.636792069;0.36;0.125;0.833333333;0.475;0.583333333;0.545454545;0;0.583333333;0.666666667
Namukisa;Chimpanzees;0.416666667;0.5625;0.717193757;0.566666667;0.125;0.8;0.55;0.541666667;0.545454545;0.25;0.666666667;0.833333333
