ID ;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;AdditionalSupportNeeds;Mediansplit_midtesting_entiresample;Dropout;Reason_Dropout;StoppedEarly;Warm-up.Crit.reached;Trial_Nr;Success;Trial_correct;CumulativeNrCorrectSearches;CumulativeProportionCorrect;Nr.AdministeredTestTrials;Test.NrCorrectTrials;Test.NrErrors;Sanitycheck.NrTrials;ProportionCorrect;Video;Comment;PC1;PC2
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;1;yes;1;1;1;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;2;no;0;1;0.5;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;3;no;0;1;0.333333333;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;4;no;0;1;0.25;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;5;yes;1;2;0.4;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;6;no;0;2;0.333333333;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;7;no;0;2;0.285714286;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
27;f;53;4;55;4;no;old;no;;no;yes, within 2 trials;8;no;0;2;0.25;8;2;6;8;0.25;ID27_AdditionalTask_Foil_f_4y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;1;yes;1;1;1;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;2;yes;1;2;1;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;3;no;0;2;0.666666667;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;4;yes;1;3;0.75;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;5;yes;1;4;0.8;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;6;yes;1;5;0.833333333;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;7;no;0;5;0.714285714;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
28;m;47;3;49;4;Speech is slightly impaired;young;no;;no;yes, within 2 trials;8;yes;1;6;0.75;8;6;2;8;0.75;ID28_AdditionalTask_Foil_m_3y;;;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;1;no;0;0;0;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;2;no;0;0;0;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;3;no;0;0;0;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
29;f;49;4;50;4;no;old;no;;no;yes, within 2 trials;4;no;0;0;0;8;3;5;8;0.375;ID29_AdditionalTask_Foil_f_4y;"Q1: ""cup""";;
