ID;Gender;Age_months;Age_group;Midtesting_age_months;Midtesting_age_group;Mediansplit_midtesting_entiresample;AdditionalSupportNeeds;TestingLocation;Trial;StoppedEarly;TotalNr_Rounds;RoundNr;Position;BoxID;Correct;emptied_all_boxes;NrBoxesEmptied;Efficiency;NoSearches_before_FirstError;NoSearches_before_FirstError_numeric;Video;NrBoxesEmptiedDisregardingFirstSearch;NrRoundsDisregardingFirstSearch;EfficiencyDisregardingFirstSearch
6;m;40;3;40;3;young;no;Fife;2;no;9;4;1;lightblue;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;5;1;purple;no;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;6;1;red;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;7;2;white;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;8;1;green;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
6;m;40;3;40;3;young;no;Fife;2;no;9;9;2;orange;yes;yes;8;0.889;4;4;ID6_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;1;1;white;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;2;1;lightblue;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;3;2;orange;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;4;3;lightblue;no;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;5;5;blue;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;6;6;red;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;7;2;green;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;8;6;yellow;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;1;no;9;9;6;purple;yes;yes;8;0.889;3;3;ID7_WM_ScrambledBox_m_3y;7;8;0.875
7;m;46;3;46;3;young;no information;Fife;2;no;11;1;4;white;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;2;4;red;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;3;2;yellow;yes;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
7;m;46;3;46;3;young;no information;Fife;2;no;11;4;6;white;no;yes;8;0.727;3;3;ID7_WM_ScrambledBox_m_3y;7;10;0.7
