ID;Gender;Age_months;Age_group;AdditionalSupportNeeds;AgeMonths_midtesting;AgeGroup_midtesting;TestingLocation;BPVS_Score;Mediansplit_midtesting_entiresample;Dropout;StoppedGame;Phase;Trial;Nr_Searches_UntilRewardFound (4= did not find);Grid_Choices;2ndTaskCorrect;Comment;choice01;choice01_x;choice01_y;toy_x;toy_y;distance_c01;choice02;choice03;AverageDistanceAcrossTestTrials;Got_Toy (1 = yes, 0 = no);Cumulative_SumofToys_TestTrials;Cumulative_Average_Distance;Video;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Test;3;1;3;yes;;3;3;1;3;1;0.0000;;;0.4;1;3;.0;ID10_WM_Grid_m_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Test;4;1;9;no;;9;1;3;1;3;0.0000;;;0.4;1;4;.0;ID10_WM_Grid_m_3y;
10;m;43;3;no;44;3;Fife;;young;yes;yes;Test;5;3;4, 3, 2;yes;;4;4;1;2;1;2.0000;3;2;0.4;1;5;.40;ID10_WM_Grid_m_3y;stopped the game after trial 5
11;f;62;5;no;63;5;Fife;;old;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;0.5;1;;;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;0.5;1;;;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;1;1;5;yes;;5;1;2;1;2;0.0000;;;0.5;1;1;.0;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;2;1;14;no;;14;2;4;2;4;0.0000;;;0.5;1;2;.0;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;3;4;2, 11, 15;yes;;2;2;1;3;1;1.0000;11;15;0.5;0;2;.333;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;4;1;9;yes;;9;1;3;1;3;0.0000;;;0.5;1;3;.250;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;5;4;3, 14, 12;yes;;3;3;1;2;1;1.0000;14;12;0.5;0;3;.40;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;6;1;12;yes;;12;4;3;4;3;0.0000;;;0.5;1;4;.333;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;7;1;10;yes;;10;2;3;2;3;0.0000;;;0.5;1;5;.286;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;8;3;14, 13, 15;no;;14;2;4;3;4;1.0000;13;15;0.5;1;6;.375;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;9;4;7, 11, 12;yes;;7;3;2;4;2;1.0000;11;12;0.5;0;6;.444;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;10;1;6;yes;;6;2;2;2;2;0.0000;;;0.5;1;7;.40;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;11;2;7, 11;yes;;7;3;2;3;3;1.0000;11;;0.5;1;8;.455;ID11_WM_Grid_f_5y;
11;f;62;5;no;63;5;Fife;;old;no;no;Test;12;4;11, 15, 10;no;;11;3;3;3;2;1.0000;15;10;0.5;0;8;.50;ID11_WM_Grid_f_5y;
12;f;62;5;no;63;5;Fife;113;old;no;no;Warm-up;1;1;7;;;7;3;2;3;2;0.0000;;;0.642;1;;;ID12_WM_Grid_f_5y;
12;f;62;5;no;63;5;Fife;113;old;no;no;Warm-up;2;1;14;;;14;2;4;2;4;0.0000;;;0.642;1;;;ID12_WM_Grid_f_5y;
12;f;62;5;no;63;5;Fife;113;old;no;no;Test;1;2;9, 5;yes;;9;1;3;1;2;1.0000;5;;0.642;1;1;1.0;ID12_WM_Grid_f_5y;
12;f;62;5;no;63;5;Fife;113;old;no;no;Test;2;1;14;yes;;14;2;4;2;4;0.0000;;;0.642;1;2;.50;ID12_WM_Grid_f_5y;
12;f;62;5;no;63;5;Fife;113;old;no;no;Test;3;1;3;yes;;3;3;1;3;1;0.0000;;;0.642;1;3;.333;ID12_WM_Grid_f_5y;
